Id,Weekly_Sales
1_1_2012-11-02,308595865052781952
1_1_2012-11-09,308595865052781952
1_1_2012-11-16,308595865052781952
1_1_2012-11-23,308595789806084928
1_1_2012-11-30,308595865052781952
1_1_2012-12-07,308595698885289920
1_1_2012-12-14,308595698885289920
1_1_2012-12-21,308595698885289920
1_1_2012-12-28,308595623638592896
1_1_2013-01-04,308597526727702464
1_1_2013-01-11,308597526727702464
1_1_2013-01-18,308597526727702464
1_1_2013-01-25,308597526727702464
1_1_2013-02-01,308597360560210368
1_1_2013-02-08,308597285313513344
1_1_2013-02-15,308597360560210368
1_1_2013-02-22,308597360560210368
1_1_2013-03-01,308597194392718336
1_1_2013-03-08,308597194392718336
1_1_2013-03-15,308597194392718336
1_1_2013-03-22,308597194392718336
1_1_2013-03-29,308597194392718336
1_1_2013-04-05,308597028225226304
1_1_2013-04-12,308597028225226304
1_1_2013-04-19,308597028225226304
1_1_2013-04-26,308597028225226304
1_1_2013-05-03,308596862057734272
1_1_2013-05-10,308596862057734272
1_1_2013-05-17,308596862057734272
1_1_2013-05-24,308596862057734272
1_1_2013-05-31,308596862057734272
1_1_2013-06-07,308596695890242176
1_1_2013-06-14,308596695890242176
1_1_2013-06-21,308596695890242176
1_1_2013-06-28,308596695890242176
1_1_2013-07-05,308596529722750144
1_1_2013-07-12,308596529722750144
1_1_2013-07-19,308596529722750144
1_1_2013-07-26,308596529722750144
1_2_2012-11-02,308598610056064512
1_2_2012-11-09,308598610056064512
1_2_2012-11-16,308598610056064512
1_2_2012-11-23,308598534809367488
1_2_2012-11-30,308598610056064512
1_2_2012-12-07,308598443888572480
1_2_2012-12-14,308598443888572480
1_2_2012-12-21,308598443888572480
1_2_2012-12-28,308598368641875456
1_2_2013-01-04,308600271730985024
1_2_2013-01-11,308600271730985024
1_2_2013-01-18,308600271730985024
1_2_2013-01-25,308600271730985024
1_2_2013-02-01,308600105563492928
1_2_2013-02-08,308600030316795904
1_2_2013-02-15,308600105563492928
1_2_2013-02-22,308600105563492928
1_2_2013-03-01,308599939396000896
1_2_2013-03-08,308599939396000896
1_2_2013-03-15,308599939396000896
1_2_2013-03-22,308599939396000896
1_2_2013-03-29,308599939396000896
1_2_2013-04-05,308599773228508864
1_2_2013-04-12,308599773228508864
1_2_2013-04-19,308599773228508864
1_2_2013-04-26,308599773228508864
1_2_2013-05-03,308599607061016832
1_2_2013-05-10,308599607061016832
1_2_2013-05-17,308599607061016832
1_2_2013-05-24,308599607061016832
1_2_2013-05-31,308599607061016832
1_2_2013-06-07,308599440893524736
1_2_2013-06-14,308599440893524736
1_2_2013-06-21,308599440893524736
1_2_2013-06-28,308599440893524736
1_2_2013-07-05,308599274726032704
1_2_2013-07-12,308599274726032704
1_2_2013-07-19,308599274726032704
1_2_2013-07-26,308599274726032704
1_3_2012-11-02,308601355059347136
1_3_2012-11-09,308601355059347136
1_3_2012-11-16,308601355059347136
1_3_2012-11-23,308601279812650112
1_3_2012-11-30,308601355059347136
1_3_2012-12-07,308601188891855104
1_3_2012-12-14,308601188891855104
1_3_2012-12-21,308601188891855104
1_3_2012-12-28,308601113645158080
1_3_2013-01-04,308603016734267648
1_3_2013-01-11,308603016734267648
1_3_2013-01-18,308603016734267648
1_3_2013-01-25,308603016734267648
1_3_2013-02-01,308602850566775552
1_3_2013-02-08,308602775320078528
1_3_2013-02-15,308602850566775552
1_3_2013-02-22,308602850566775552
1_3_2013-03-01,308602684399283520
1_3_2013-03-08,308602684399283520
1_3_2013-03-15,308602684399283520
1_3_2013-03-22,308602684399283520
1_3_2013-03-29,308602684399283520
1_3_2013-04-05,308602518231791488
1_3_2013-04-12,308602518231791488
1_3_2013-04-19,308602518231791488
1_3_2013-04-26,308602518231791488
1_3_2013-05-03,308602352064299456
1_3_2013-05-10,308602352064299456
1_3_2013-05-17,308602352064299456
1_3_2013-05-24,308602352064299456
1_3_2013-05-31,308602352064299456
1_3_2013-06-07,308602185896807360
1_3_2013-06-14,308602185896807360
1_3_2013-06-21,308602185896807360
1_3_2013-06-28,308602185896807360
1_3_2013-07-05,308602019729315328
1_3_2013-07-12,308602019729315328
1_3_2013-07-19,308602019729315328
1_3_2013-07-26,308602019729315328
1_4_2012-11-02,308604100062629760
1_4_2012-11-09,308604100062629760
1_4_2012-11-16,308604100062629760
1_4_2012-11-23,308604024815932736
1_4_2012-11-30,308604100062629760
1_4_2012-12-07,308603933895137728
1_4_2012-12-14,308603933895137728
1_4_2012-12-21,308603933895137728
1_4_2012-12-28,308603858648440704
1_4_2013-01-04,308605761737550272
1_4_2013-01-11,308605761737550272
1_4_2013-01-18,308605761737550272
1_4_2013-01-25,308605761737550272
1_4_2013-02-01,308605595570058176
1_4_2013-02-08,308605520323361152
1_4_2013-02-15,308605595570058176
1_4_2013-02-22,308605595570058176
1_4_2013-03-01,308605429402566144
1_4_2013-03-08,308605429402566144
1_4_2013-03-15,308605429402566144
1_4_2013-03-22,308605429402566144
1_4_2013-03-29,308605429402566144
1_4_2013-04-05,308605263235074112
1_4_2013-04-12,308605263235074112
1_4_2013-04-19,308605263235074112
1_4_2013-04-26,308605263235074112
1_4_2013-05-03,308605097067582080
1_4_2013-05-10,308605097067582080
1_4_2013-05-17,308605097067582080
1_4_2013-05-24,308605097067582080
1_4_2013-05-31,308605097067582080
1_4_2013-06-07,308604930900089984
1_4_2013-06-14,308604930900089984
1_4_2013-06-21,308604930900089984
1_4_2013-06-28,308604930900089984
1_4_2013-07-05,308604764732597952
1_4_2013-07-12,308604764732597952
1_4_2013-07-19,308604764732597952
1_4_2013-07-26,308604764732597952
1_5_2012-11-02,308606845065912320
1_5_2012-11-09,308606845065912320
1_5_2012-11-16,308606845065912320
